concept,feature_index,method,beta,alpha_hat,target_delta,control_delta,specificity,probability_multiplier,target_retention,perplexity,ppl_ratio_baseline,evaluated_tokens,ppl_ratio_to_ordinary,positive_target
opera,28999,ordinary,0.0,0.2,1.9189802408218393,0.8333983023961391,1.0855819384257002,6.814006279669894,1.0,109.6339076819018,1.0515387625939878,2016,1.0,True
opera,28999,prd,0.25,0.2,1.9512449900309248,0.8801754415035248,1.0710695485274,7.037443676052397,1.0168134869357839,109.00228329129959,1.0454806228800855,2016,0.9942387861204871,True
opera,28999,prd,0.5,0.2,1.9841572046279916,0.9302839537461587,1.053873250881833,7.272915222446599,1.0339643746296414,108.47323448264446,1.0404063229543803,2016,0.9894131913766588,True
opera,28999,prd,0.75,0.2,2.0177377462387094,0.9842256406942997,1.0335121055444096,7.5212906049788275,1.051463534285572,108.05328159717429,1.0363784017859008,2016,0.9855826895333,True
opera,28999,prd,1.0,0.2,2.051987727483114,1.0425711075464879,1.0094166199366263,7.783356932718449,1.069311545701123,107.74782949838112,1.0334486993900995,2016,0.9827965797863097,True
banana,31031,ordinary,0.0,0.2,0.6040973862012233,-0.3935143748919181,0.9976117610931414,1.8296000411198745,1.0,115.0265212873058,1.1032612849200811,2016,1.0,True
banana,31031,prd,0.25,0.2,0.5879994233449306,-0.40866413712501526,0.9966635604699459,1.8003830059394896,0.973352040210731,114.20321681250229,1.0953646716644005,2016,0.9928424813200505,True
banana,31031,prd,0.5,0.2,0.569238444169363,-0.4250988463560752,0.9943372905254382,1.7669209299889688,0.9422958237726112,113.46774130056404,1.0883104579991751,2016,0.9864485166612287,True
banana,31031,prd,0.75,0.2,0.54763263463974,-0.44290470083554645,0.9905373354752864,1.7291546278197367,0.9065303825984854,112.82390739551512,1.0821352123826864,2016,0.9808512518057542,True
banana,31031,prd,1.0,0.2,0.5229876438776655,-0.46220657229423523,0.9851942161719007,1.6870604636929507,0.8657339955837181,112.27794174737248,1.0768986568844323,2016,0.9761048190523984,True
blanket,31117,ordinary,0.0,0.2,1.5204368581374483,-0.08411934971809387,1.6045562078555422,4.574223045281675,1.0,115.10426237091657,1.1040069279842688,2016,1.0,True
blanket,31117,prd,0.25,0.2,1.5093831966320672,-0.09107163548469543,1.6004548321167626,4.523939552426786,0.9927299437354328,114.46124712209779,1.0978395343980272,2016,0.9944136278225153,True
blanket,31117,prd,0.5,0.2,1.4974551101525622,-0.09842005372047424,1.5958751638730364,4.470298165770014,0.9848847731743106,113.90819968944152,1.0925350549236796,2016,0.9896088758414453,True
blanket,31117,prd,0.75,0.2,1.4845867206652956,-0.10621032118797302,1.5907970418532686,4.41314117579573,0.976421159957889,113.44942587431663,1.0881347880713235,2016,0.9856231518927828,True
blanket,31117,prd,1.0,0.2,1.470696186025937,-0.11448954542477985,1.585185731450717,4.352264072018829,0.9672852760407005,113.09374876018279,1.084723359249827,2016,0.982533108945566,True
football,11220,ordinary,0.0,0.2,1.149582932392756,-1.057577619949976,2.207160552342732,3.156876004368073,1.0,117.19799736766265,1.124088703360424,2016,1.0,True
football,11220,prd,0.25,0.2,1.1316958864529925,-1.0847858488559723,2.2164817353089648,3.100910836165744,0.984440404049377,116.63741888127261,1.118711990805165,2016,0.9952168253811415,True
football,11220,prd,0.5,0.2,1.1127435763676958,-1.1129022538661957,2.2256458302338915,3.0426948189973095,0.9679541553836553,116.18763131840073,1.1143979143730383,2016,0.9913789819625305,True
football,11220,prd,0.75,0.2,1.0927305022875466,-1.1419609884421034,2.23469149072965,2.9824064323828714,0.9505451685970354,115.8569817043779,1.1112265334259086,2016,0.9885576913138042,True
football,11220,prd,1.0,0.2,1.0716529885927835,-1.1720003982384997,2.243653386831283,2.92020257417921,0.9322102463388455,115.64813043627227,1.1092233648015886,2016,0.9867756534565323,True
