concept,feature_index,method,alpha_hat,beta,target_log_probability,control_log_probability,target_delta,control_delta,specificity,probability_multiplier
paris,2252,baseline,0.0,0.0,-5.1819040179252625,-6.3699900805950165,0.0,0.0,0.0,1.0
paris,2252,ordinary,0.05,0.0,-4.479759693145752,-6.172874385118485,0.7021443247795105,0.19711569547653163,0.5050286293029789,2.0180754803590335
paris,2252,ordinary,0.1,0.0,-3.7709178775548935,-6.109641969203949,1.410986140370369,0.2603481113910675,1.1506380289793015,4.0999965833078615
paris,2252,ordinary,0.2,0.0,-2.6893657073378563,-6.498057246208191,2.492538310587406,-0.12806716561317444,2.6206054762005806,12.091930273741024
paris,2252,ordinary,0.3,0.0,-2.362910218536854,-7.215805566310882,2.8189937993884087,-0.8458154857158657,3.6648092851042744,16.759978284659812
paris,2252,ordinary,0.5,0.0,-2.844911068677902,-8.200229573249818,2.3369929492473602,-1.8302394926548011,4.167232441902161,10.350066545911345
paris,2252,full_denoising,0.05,1.0,-4.4864980429410934,-6.164628940820694,0.695405974984169,0.2053611397743227,0.4900448352098463,2.0045226948444395
paris,2252,full_denoising,0.1,1.0,-3.813934698700905,-6.077541482448578,1.3679693192243576,0.2924485981464384,1.0755207210779192,3.9273673630110273
paris,2252,full_denoising,0.2,1.0,-2.8264522403478622,-6.259191793203354,2.3554517775774,0.11079828739166242,2.244653490185738,10.542890827616663
paris,2252,full_denoising,0.3,1.0,-2.401907704770565,-6.6895374178886415,2.7799963131546974,-0.31954733729362506,3.0995436504483225,16.118961519800433
paris,2252,full_denoising,0.5,1.0,-2.3797327876091003,-7.587134075164795,2.802171230316162,-1.2171439945697786,4.019315224885941,16.480390676788748
paris,2252,prd,0.05,1.0,-4.478462800383568,-6.162900996208191,0.7034412175416946,0.20708908438682538,0.49635213315486926,2.020694405708647
paris,2252,prd,0.1,1.0,-3.753476932644844,-6.0823493003845215,1.4284270852804184,0.287640780210495,1.1407863050699234,4.172131620924162
paris,2252,prd,0.2,1.0,-2.6272424533963203,-6.472145080566406,2.554661564528942,-0.10215499997138977,2.656816564500332,12.86694429020639
paris,2252,prd,0.3,1.0,-2.359329730272293,-7.242231559753418,2.8225742876529694,-0.8722414791584017,3.694815766811371,16.82009474914624
paris,2252,prd,0.5,1.0,-3.110495924949646,-8.299703967571258,2.0714080929756165,-1.9297138869762414,4.001121979951858,7.935989865679274
ocean,24664,baseline,0.0,0.0,-4.15180429816246,-7.900265192985534,0.0,0.0,0.0,1.0
ocean,24664,ordinary,0.05,0.0,-3.991563305258751,-8.087012767791748,0.1602409929037094,-0.18674757480621373,0.34698856770992315,1.1737937128642182
ocean,24664,ordinary,0.1,0.0,-3.8545757085084915,-8.267678153514861,0.2972285896539688,-0.36741296052932704,0.6646415501832958,1.346122974065982
ocean,24664,ordinary,0.2,0.0,-3.626024156808853,-8.59064531326294,0.5257801413536072,-0.6903801202774051,1.2161602616310123,1.691778159791065
ocean,24664,ordinary,0.3,0.0,-3.429754927754402,-8.841430699825287,0.7220493704080582,-0.9411655068397522,1.6632148772478104,2.0586478224463822
ocean,24664,ordinary,0.5,0.0,-3.0818362087011337,-9.093071579933167,1.0699680894613266,-1.1928063869476322,2.262774476408959,2.915286470131039
ocean,24664,full_denoising,0.05,1.0,-3.9918212890625,-8.077036666870118,0.15998300909996033,-0.17677147388458359,0.3367544829845439,1.1734909321552955
ocean,24664,full_denoising,0.1,1.0,-3.87005078792572,-8.233642327785493,0.2817535102367401,-0.33337713479995834,0.6151306450366985,1.325451969375962
ocean,24664,full_denoising,0.2,1.0,-3.706549271941185,-8.504058885574342,0.44525502622127533,-0.6037936925888072,1.0490487188100825,1.5608882125008334
ocean,24664,full_denoising,0.3,1.0,-3.608413800597191,-8.731207764148712,0.5433904975652695,-0.8309425711631775,1.374333068728447,1.72183485358545
ocean,24664,full_denoising,0.5,1.0,-3.3768729865550995,-9.082546710968018,0.7749313116073608,-1.1822815179824833,1.957212829589844,2.170443037819564
ocean,24664,prd,0.05,1.0,-3.9894702583551407,-8.077345097064972,0.16233403980731964,-0.17707990407943797,0.3394139438867576,1.176253091059518
ocean,24664,prd,0.1,1.0,-3.856275588274002,-8.24591920375824,0.29552870988845825,-0.3456540107727051,0.6411827206611633,1.3438366706314915
ocean,24664,prd,0.2,1.0,-3.6291259229183197,-8.568439316749572,0.5226783752441406,-0.6681741237640377,1.1908524990081784,1.686538789481564
ocean,24664,prd,0.3,1.0,-3.4270839989185333,-8.854735612869263,0.724720299243927,-0.9544704198837284,1.6791907191276554,2.0641536738737605
ocean,24664,prd,0.5,1.0,-3.0131278336048126,-9.13445712327957,1.1386764645576477,-1.2341919302940365,2.372868394851684,3.1226327138790646
