concept,feature_index,method,alpha_hat,beta,dist_1,dist_2,dist_3,unique_unigrams,unique_bigrams,unique_trigrams,total_unigrams,total_bigrams,total_trigrams,mean_generated_tokens,generation_count,ordinary_dist_1,ordinary_dist_2,ordinary_dist_3,dist_1_change,dist_2_change,dist_3_change
paris,2252,full_denoising,0.05,1.0,0.4859375,0.8669871794871795,0.9572368421052632,311,541,582,640,624,608,40.0,16,0.4953125,0.8701923076923077,0.9588815789473685,-0.009374999999999967,-0.0032051282051281937,-0.00164473684210531
paris,2252,full_denoising,0.1,1.0,0.4921875,0.8653846153846154,0.9506578947368421,315,540,578,640,624,608,40.0,16,0.48125,0.8701923076923077,0.9720394736842105,0.010937499999999989,-0.004807692307692291,-0.021381578947368363
paris,2252,full_denoising,0.2,1.0,0.4921875,0.8685897435897436,0.9539473684210527,315,542,580,640,624,608,40.0,16,0.496875,0.8733974358974359,0.9588815789473685,-0.004687500000000011,-0.004807692307692291,-0.004934210526315819
paris,2252,full_denoising,0.3,1.0,0.4828125,0.8653846153846154,0.962171052631579,309,540,585,640,624,608,40.0,16,0.4953125,0.8717948717948718,0.9588815789473685,-0.012500000000000011,-0.0064102564102563875,0.003289473684210509
paris,2252,full_denoising,0.5,1.0,0.4625,0.8301282051282052,0.9473684210526315,296,518,576,640,624,608,40.0,16,0.4828125,0.8701923076923077,0.9555921052631579,-0.020312499999999956,-0.04006410256410253,-0.008223684210526327
paris,2252,prd,0.05,1.0,0.48125,0.8621794871794872,0.9588815789473685,308,538,583,640,624,608,40.0,16,0.4953125,0.8701923076923077,0.9588815789473685,-0.014062499999999978,-0.008012820512820484,0.0
paris,2252,prd,0.1,1.0,0.4921875,0.8862179487179487,0.9605263157894737,315,553,584,640,624,608,40.0,16,0.48125,0.8701923076923077,0.9720394736842105,0.010937499999999989,0.01602564102564097,-0.011513157894736836
paris,2252,prd,0.2,1.0,0.4859375,0.8862179487179487,0.9769736842105263,311,553,594,640,624,608,40.0,16,0.496875,0.8733974358974359,0.9588815789473685,-0.010937499999999989,0.012820512820512775,0.018092105263157854
paris,2252,prd,0.3,1.0,0.5125,0.8701923076923077,0.9720394736842105,328,543,591,640,624,608,40.0,16,0.4953125,0.8717948717948718,0.9588815789473685,0.017187499999999967,-0.0016025641025640969,0.013157894736842035
paris,2252,prd,0.5,1.0,0.4578125,0.8349358974358975,0.9588815789473685,293,521,583,640,624,608,40.0,16,0.4828125,0.8701923076923077,0.9555921052631579,-0.024999999999999967,-0.03525641025641024,0.00328947368421062
ocean,24664,full_denoising,0.05,1.0,0.5078125,0.8942307692307693,0.9720394736842105,325,558,591,640,624,608,40.0,16,0.4859375,0.8846153846153846,0.96875,0.021874999999999978,0.009615384615384692,0.003289473684210509
ocean,24664,full_denoising,0.1,1.0,0.5046875,0.8926282051282052,0.975328947368421,323,557,593,640,624,608,40.0,16,0.4859375,0.8814102564102564,0.9654605263157895,0.018749999999999933,0.011217948717948789,0.009868421052631526
ocean,24664,full_denoising,0.2,1.0,0.503125,0.8846153846153846,0.9572368421052632,322,552,582,640,624,608,40.0,16,0.4921875,0.8798076923076923,0.962171052631579,0.010937500000000044,0.004807692307692291,-0.004934210526315819
ocean,24664,full_denoising,0.3,1.0,0.496875,0.8493589743589743,0.9457236842105263,318,530,575,640,624,608,40.0,16,0.459375,0.8541666666666666,0.9572368421052632,0.03750000000000003,-0.004807692307692291,-0.011513157894736836
ocean,24664,full_denoising,0.5,1.0,0.4484375,0.8237179487179487,0.9391447368421053,287,514,571,640,624,608,40.0,16,0.4953125,0.8509615384615384,0.9605263157894737,-0.046875,-0.027243589743589758,-0.021381578947368363
ocean,24664,prd,0.05,1.0,0.4921875,0.8878205128205128,0.9736842105263158,315,554,592,640,624,608,40.0,16,0.4859375,0.8846153846153846,0.96875,0.006249999999999978,0.0032051282051281937,0.004934210526315819
ocean,24664,prd,0.1,1.0,0.5046875,0.8910256410256411,0.9835526315789473,323,556,598,640,624,608,40.0,16,0.4859375,0.8814102564102564,0.9654605263157895,0.018749999999999933,0.009615384615384692,0.018092105263157854
ocean,24664,prd,0.2,1.0,0.48381877022653724,0.8770764119601329,0.9692832764505119,299,528,568,618,602,586,38.625,16,0.4921875,0.8798076923076923,0.962171052631579,-0.008368729773462757,-0.0027312803475594283,0.00711222381893295
ocean,24664,prd,0.3,1.0,0.4875,0.8509615384615384,0.9490131578947368,312,531,577,640,624,608,40.0,16,0.459375,0.8541666666666666,0.9572368421052632,0.02812500000000001,-0.0032051282051281937,-0.008223684210526327
ocean,24664,prd,0.5,1.0,0.46875,0.8509615384615384,0.9555921052631579,300,531,581,640,624,608,40.0,16,0.4953125,0.8509615384615384,0.9605263157894737,-0.02656249999999999,0.0,-0.004934210526315819
