concept,feature_index,method,alpha_hat,beta,dist_1,dist_2,dist_3,unique_unigrams,unique_bigrams,unique_trigrams,total_unigrams,total_bigrams,total_trigrams,mean_generated_tokens,generation_count
baseline,-1,baseline,0.0,0.0,0.503125,0.8974358974358975,0.9605263157894737,322,560,584,640,624,608,40.0,16
paris,2252,ordinary,0.05,0.0,0.4953125,0.8701923076923077,0.9588815789473685,317,543,583,640,624,608,40.0,16
paris,2252,ordinary,0.1,0.0,0.48125,0.8701923076923077,0.9720394736842105,308,543,591,640,624,608,40.0,16
paris,2252,ordinary,0.2,0.0,0.496875,0.8733974358974359,0.9588815789473685,318,545,583,640,624,608,40.0,16
paris,2252,ordinary,0.3,0.0,0.4953125,0.8717948717948718,0.9588815789473685,317,544,583,640,624,608,40.0,16
paris,2252,ordinary,0.5,0.0,0.4828125,0.8701923076923077,0.9555921052631579,309,543,581,640,624,608,40.0,16
paris,2252,full_denoising,0.05,1.0,0.4859375,0.8669871794871795,0.9572368421052632,311,541,582,640,624,608,40.0,16
paris,2252,full_denoising,0.1,1.0,0.4921875,0.8653846153846154,0.9506578947368421,315,540,578,640,624,608,40.0,16
paris,2252,full_denoising,0.2,1.0,0.4921875,0.8685897435897436,0.9539473684210527,315,542,580,640,624,608,40.0,16
paris,2252,full_denoising,0.3,1.0,0.4828125,0.8653846153846154,0.962171052631579,309,540,585,640,624,608,40.0,16
paris,2252,full_denoising,0.5,1.0,0.4625,0.8301282051282052,0.9473684210526315,296,518,576,640,624,608,40.0,16
paris,2252,prd,0.05,1.0,0.48125,0.8621794871794872,0.9588815789473685,308,538,583,640,624,608,40.0,16
paris,2252,prd,0.1,1.0,0.4921875,0.8862179487179487,0.9605263157894737,315,553,584,640,624,608,40.0,16
paris,2252,prd,0.2,1.0,0.4859375,0.8862179487179487,0.9769736842105263,311,553,594,640,624,608,40.0,16
paris,2252,prd,0.3,1.0,0.5125,0.8701923076923077,0.9720394736842105,328,543,591,640,624,608,40.0,16
paris,2252,prd,0.5,1.0,0.4578125,0.8349358974358975,0.9588815789473685,293,521,583,640,624,608,40.0,16
ocean,24664,ordinary,0.05,0.0,0.4859375,0.8846153846153846,0.96875,311,552,589,640,624,608,40.0,16
ocean,24664,ordinary,0.1,0.0,0.4859375,0.8814102564102564,0.9654605263157895,311,550,587,640,624,608,40.0,16
ocean,24664,ordinary,0.2,0.0,0.4921875,0.8798076923076923,0.962171052631579,315,549,585,640,624,608,40.0,16
ocean,24664,ordinary,0.3,0.0,0.459375,0.8541666666666666,0.9572368421052632,294,533,582,640,624,608,40.0,16
ocean,24664,ordinary,0.5,0.0,0.4953125,0.8509615384615384,0.9605263157894737,317,531,584,640,624,608,40.0,16
ocean,24664,full_denoising,0.05,1.0,0.5078125,0.8942307692307693,0.9720394736842105,325,558,591,640,624,608,40.0,16
ocean,24664,full_denoising,0.1,1.0,0.5046875,0.8926282051282052,0.975328947368421,323,557,593,640,624,608,40.0,16
ocean,24664,full_denoising,0.2,1.0,0.503125,0.8846153846153846,0.9572368421052632,322,552,582,640,624,608,40.0,16
ocean,24664,full_denoising,0.3,1.0,0.496875,0.8493589743589743,0.9457236842105263,318,530,575,640,624,608,40.0,16
ocean,24664,full_denoising,0.5,1.0,0.4484375,0.8237179487179487,0.9391447368421053,287,514,571,640,624,608,40.0,16
ocean,24664,prd,0.05,1.0,0.4921875,0.8878205128205128,0.9736842105263158,315,554,592,640,624,608,40.0,16
ocean,24664,prd,0.1,1.0,0.5046875,0.8910256410256411,0.9835526315789473,323,556,598,640,624,608,40.0,16
ocean,24664,prd,0.2,1.0,0.48381877022653724,0.8770764119601329,0.9692832764505119,299,528,568,618,602,586,38.625,16
ocean,24664,prd,0.3,1.0,0.4875,0.8509615384615384,0.9490131578947368,312,531,577,640,624,608,40.0,16
ocean,24664,prd,0.5,1.0,0.46875,0.8509615384615384,0.9555921052631579,300,531,581,640,624,608,40.0,16
