concept,feature_index,method,alpha_hat,beta,target_log_probability,control_log_probability,target_delta,control_delta,specificity,probability_multiplier,ordinary_target_delta,ordinary_specificity,target_retention,specificity_change,perplexity,ordinary_perplexity,ppl_ratio_to_ordinary,ppl_reduction_percent,ppl_ratio_baseline,ppl_win
paris,2252,full_denoising,0.05,1.0,-4.4864980429410934,-6.164628940820694,0.695405974984169,0.2053611397743227,0.4900448352098463,2.0045226948444395,0.7021443247795105,0.5050286293029789,0.9904031841353165,-0.014983794093132552,54.141736252663286,54.16302767358675,0.9996069012047891,0.039309879521087776,1.0012489243607294,True
paris,2252,full_denoising,0.1,1.0,-3.813934698700905,-6.077541482448578,1.3679693192243576,0.2924485981464384,1.0755207210779192,3.9273673630110273,1.410986140370369,1.1506380289793015,0.9695129385645702,-0.07511730790138227,55.52181934810781,55.740859878107734,0.9960703776282083,0.392962237179173,1.0267709487818486,True
paris,2252,full_denoising,0.2,1.0,-2.8264522403478622,-6.259191793203354,2.3554517775774,0.11079828739166242,2.244653490185738,10.542890827616663,2.492538310587406,2.6206054762005806,0.9450012333099509,-0.3759519860148428,64.08247875897884,66.49818119166503,0.9636726540576575,3.632734594234255,1.1850841396805156,True
paris,2252,full_denoising,0.3,1.0,-2.401907704770565,-6.6895374178886415,2.7799963131546974,-0.31954733729362506,3.0995436504483225,16.118961519800433,2.8189937993884087,3.6648092851042744,0.9861661681405004,-0.5652656346559519,79.11222729836079,86.40359168520412,0.9156127165013221,8.438728349867786,1.4630308883448269,True
paris,2252,full_denoising,0.5,1.0,-2.3797327876091003,-7.587134075164795,2.802171230316162,-1.2171439945697786,4.019315224885941,16.480390676788748,2.3369929492473602,4.167232441902161,1.1990499291915342,-0.14791721701622063,127.90457220849221,156.8471805945349,0.8154725620420163,18.452743795798366,2.365352945958996,True
paris,2252,prd,0.05,1.0,-4.478462800383568,-6.162900996208191,0.7034412175416946,0.20708908438682538,0.49635213315486926,2.020694405708647,0.7021443247795105,0.5050286293029789,1.0018470458514228,-0.008676496148109614,54.15707101647803,54.16302767358675,0.9998900235573126,0.010997644268739837,1.0015325117895328,True
paris,2252,prd,0.1,1.0,-3.753476932644844,-6.0823493003845215,1.4284270852804184,0.287640780210495,1.1407863050699234,4.172131620924162,1.410986140370369,1.1506380289793015,1.0123608194375824,-0.009851723909378052,55.79144863509331,55.740859878107734,1.0009075704446648,-0.09075704446648292,1.031757232049724,False
paris,2252,prd,0.2,1.0,-2.6272424533963203,-6.472145080566406,2.554661564528942,-0.10215499997138977,2.656816564500332,12.86694429020639,2.492538310587406,2.6206054762005806,1.0249236907122585,0.03621108829975128,68.69482292097106,66.49818119166503,1.0330331099278451,-3.303310992784514,1.2703807140169001,False
paris,2252,prd,0.3,1.0,-2.359329730272293,-7.242231559753418,2.8225742876529694,-0.8722414791584017,3.694815766811371,16.82009474914624,2.8189937993884087,3.6648092851042744,1.0012701298829878,0.030006481707096633,96.436720101122,86.40359168520412,1.116119344349385,-11.611934434938508,1.7834145883228008,False
paris,2252,prd,0.5,1.0,-3.110495924949646,-8.299703967571258,2.0714080929756165,-1.9297138869762414,4.001121979951858,7.935989865679274,2.3369929492473602,4.167232441902161,0.8863561585167483,-0.16611046195030355,222.87075630210455,156.8471805945349,1.4209420625688323,-42.094206256883226,4.121572754474927,False
